^SAMPLE = GSM913972
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL
AFFX-BioB-5_at	126.8	P
AFFX-BioB-M_at	113.3	P
AFFX-BioB-3_at	69	P
AFFX-BioC-5_at	276.2	P
AFFX-BioC-3_at	328.6	P
AFFX-BioDn-5_at	750.9	P
AFFX-BioDn-3_at	1605.6	P
AFFX-CreX-5_at	4538.3	P
AFFX-CreX-3_at	5484.9	P
AFFX-DapX-5_at	5.1	A
AFFX-DapX-M_at	16.8	A
AFFX-DapX-3_at	4.3	A
AFFX-LysX-5_at	5.5	A
AFFX-LysX-M_at	28.2	A
AFFX-LysX-3_at	3.2	A
AFFX-PheX-5_at	1.5	A
AFFX-PheX-M_at	1.8	A
AFFX-PheX-3_at	16.5	A
AFFX-ThrX-5_at	3.4	A
AFFX-ThrX-M_at	14.2	A
AFFX-ThrX-3_at	3.6	A
AFFX-TrpnX-5_at	5.1	A
AFFX-TrpnX-M_at	2.2	A
AFFX-TrpnX-3_at	0.9	A
AFFX-r2-Ec-bioB-5_at	132.4	P
AFFX-r2-Ec-bioB-M_at	141.6	P
AFFX-r2-Ec-bioB-3_at	117.1	P
AFFX-r2-Ec-bioC-5_at	309.5	P
AFFX-r2-Ec-bioC-3_at	435.8	P
AFFX-r2-Ec-bioD-5_at	1991.5	P
AFFX-r2-Ec-bioD-3_at	2010.9	P
AFFX-r2-P1-cre-5_at	6068	P
AFFX-r2-P1-cre-3_at	8240.2	P
AFFX-r2-Bs-dap-5_at	3.4	A
AFFX-r2-Bs-dap-M_at	7.5	A
AFFX-r2-Bs-dap-3_at	3.3	A
AFFX-r2-Bs-lys-5_at	8.2	A
AFFX-r2-Bs-lys-M_at	7.8	A
AFFX-r2-Bs-lys-3_at	2.4	A
AFFX-r2-Bs-phe-5_at	1.2	A
AFFX-r2-Bs-phe-M_at	2.1	A
AFFX-r2-Bs-phe-3_at	31	A
AFFX-r2-Bs-thr-3_s_at	31.1	A
AFFX-r2-Bs-thr-M_s_at	8.1	A
AFFX-r2-Bs-thr-5_s_at	32.7	A
AFFX-b-ActinMur/M12481_5_at	10520.7	P
AFFX-b-ActinMur/M12481_M_at	11286.4	P
AFFX-b-ActinMur/M12481_3_at	13278.6	P
AFFX-GapdhMur/M32599_5_at	13158.7	P
AFFX-GapdhMur/M32599_M_at	11752.6	P
AFFX-GapdhMur/M32599_3_at	10131.6	P
AFFX-TransRecMur/X57349_5_at	1416.6	P
AFFX-TransRecMur/X57349_M_at	1282.5	P
AFFX-TransRecMur/X57349_3_at	3038	P
AFFX-PyruCarbMur/L09192_5_at	108.2	A
AFFX-PyruCarbMur/L09192_MA_at	85.4	A
AFFX-PyruCarbMur/L09192_MB_at	37.9	A
AFFX-PyruCarbMur/L09192_3_at	70.9	A
AFFX-18SRNAMur/X00686_5_at	115.8	P
AFFX-18SRNAMur/X00686_M_at	203.7	P
AFFX-18SRNAMur/X00686_3_at	313.1	P
AFFX-MUR_b2_at	671.9	P
AFFX-MURINE_b1_at	2133.1	P
AFFX-MURINE_B2_at	13376	P
1415670_at	876.1	P
1415671_at	3459.1	P
1415672_at	3917.3	P
1415673_at	681.8	P
1415674_a_at	1255.8	P
1415675_at	726.1	P
1415676_a_at	3869.1	P
1415677_at	273.2	P
1415678_at	1134.9	P
1415679_at	3065.4	P
1415680_at	913.1	P
1415681_at	1529.4	P
1415682_at	406.9	P
1415683_at	2481.7	P
1415684_at	554.8	P
1415685_at	594.1	P
1415686_at	1283.7	P
1415687_a_at	7855.4	P
1415688_at	2028.6	P
1415689_s_at	224.4	P
1415690_at	2126.7	P
1415691_at	563.1	P
1415692_s_at	6019.2	P
1415693_at	808.8	P
1415694_at	537.2	P
1415695_at	4347.8	P
1415696_at	1375.9	P
1415697_at	1615.1	P
1415698_at	1031.9	P
1415699_a_at	1460.4	P
1415700_a_at	4166.8	P
1415701_x_at	12214.2	P
1415702_a_at	2377.4	P
1415703_at	1002.5	P
1415704_a_at	1672.7	P
1415705_at	412.2	P
1415706_at	3449.8	P
1415707_at	1336.7	P
1415708_at	1076.7	P
1415709_s_at	287.7	P
1415710_at	752.7	P
1415711_at	1010	P
1415712_at	114.8	P
1415713_a_at	656.3	P
1415714_a_at	2248.3	P
1415715_at	410.6	P
1415716_a_at	5863.6	P
1415717_at	359.3	P
1415718_at	422.7	P
1415719_s_at	848.8	P
1415720_s_at	414.4	P
1415721_a_at	530.8	P
1415722_a_at	1410.8	P
1415723_at	2564.5	P
1415724_a_at	7774.4	P
1415725_at	455.8	P
1415726_at	699.8	P
1415727_at	1254.8	P
1415728_at	375.2	P
1415729_at	1162.8	P
1415730_at	536	P
1415731_at	368.8	P
1415732_at	637.6	P
1415733_a_at	2942.8	P
1415734_at	6497.7	P
1415735_at	1499.5	P
1415736_at	2841.8	P
1415737_at	736.6	P
1415738_at	1830.2	P
1415739_at	777.3	P
1415740_at	1644.3	P
1415741_at	1561.2	P
1415742_at	1173.2	P
1415743_at	513	A
1415744_at	1732.3	P
1415745_a_at	1021.4	P
1415746_at	631.5	P
1415747_s_at	3993.1	P
1415748_a_at	1703	P
1415749_a_at	2064.1	P
1415750_at	300.7	P
1415751_at	1410.2	P
1415752_at	2419.4	P
1415753_at	913.6	P
1415754_at	2626	P
1415755_a_at	1510	P
1415756_a_at	811.8	P
1415757_at	246.8	P
1415758_at	640.6	P
1415759_a_at	3324.4	P
1415760_s_at	5434.6	P
1415761_at	1361.8	P
1415762_x_at	1666.2	P
1415763_a_at	923.5	P
1415764_at	2148.2	P
1415765_at	782.6	P
1415766_at	288.6	P
1415767_at	984.9	P
1415768_a_at	396.8	P
1415769_at	703.3	P
1415770_at	155.8	P
